record_id,timestamp,site_id,environmental_condition,ambient_temperature_c,humidity_percent,panel_temperature_c,irradiance_w_m2,panel_voltage_v,panel_current_a,actual_power_w,expected_power_w,efficiency_percent,performance_ratio,power_loss_w,energy_kwh,soiling_index_percent,health_score,fault_detected,fault_type,alert_level,maintenance_required,wifi_rssi_dbm,device_status,comm_status,system_uptime_hr
1,2026-07-06 00:00:00,SLR-STR01,Night,25.38,86.2,25.38,0.0,22.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,95.7,No,Degraded Output (Soiling),Normal,No,-55.8,ONLINE,Online,0.0
2,2026-07-06 00:01:00,SLR-STR01,Night,25.44,87.7,25.44,0.0,22.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9,No,Degraded Output (Soiling),Normal,No,-54.3,ONLINE,Online,0.017
3,2026-07-06 00:02:00,SLR-STR01,Night,25.29,86.3,25.34,1.6,22.028,0.0,0.0,0.96,0.0,0.0,0.96,0.0,0.0,96.0,No,Degraded Output (Soiling),Normal,No,-58.2,ONLINE,Online,0.033
4,2026-07-06 00:03:00,SLR-STR01,Night,25.13,92.2,25.19,2.0,21.992,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.25,96.3,No,Degraded Output (Soiling),Normal,No,-56.1,ONLINE,Online,0.05
5,2026-07-06 00:04:00,SLR-STR01,Night,25.23,89.6,25.3,2.2,21.975,0.0,0.0,1.32,0.0,0.0,1.32,0.0,0.43,96.2,No,Degraded Output (Soiling),Normal,No,-49.6,ONLINE,Online,0.067
6,2026-07-06 00:05:00,SLR-STR01,Night,25.08,88.3,25.08,0.0,21.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,96.1,No,Degraded Output (Soiling),Normal,No,-53.7,ONLINE,Online,0.083
7,2026-07-06 00:06:00,SLR-STR01,Night,25.34,85.9,25.34,0.0,21.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,No,Degraded Output (Soiling),Normal,No,-59.9,ONLINE,Online,0.1
8,2026-07-06 00:07:00,SLR-STR01,Night,25.65,89.7,25.74,3.0,21.982,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.07,96.0,No,Degraded Output (Soiling),Normal,No,-54.1,ONLINE,Online,0.117
9,2026-07-06 00:08:00,SLR-STR01,Night,25.18,89.2,25.26,2.5,22.015,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.21,96.1,No,Degraded Output (Soiling),Normal,No,-55.0,ONLINE,Online,0.133
10,2026-07-06 00:09:00,SLR-STR01,Night,25.14,86.9,25.22,2.5,21.994,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.33,95.8,No,Degraded Output (Soiling),Normal,No,-57.7,ONLINE,Online,0.15
11,2026-07-06 00:10:00,SLR-STR01,Night,25.41,87.1,25.5,3.0,22.008,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.0,95.7,No,Degraded Output (Soiling),Normal,No,-54.4,ONLINE,Online,0.167
12,2026-07-06 00:11:00,SLR-STR01,Night,25.37,84.9,25.46,3.0,21.969,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.05,95.7,No,Degraded Output (Soiling),Normal,No,-50.0,ONLINE,Online,0.183
13,2026-07-06 00:12:00,SLR-STR01,Night,25.3,87.8,25.3,0.0,21.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,No,Degraded Output (Soiling),Normal,No,-58.3,ONLINE,Online,0.2
14,2026-07-06 00:13:00,SLR-STR01,Night,25.03,89.8,25.07,1.4,21.918,0.0,0.0,0.84,0.0,0.0,0.84,0.0,0.41,95.6,No,Degraded Output (Soiling),Normal,No,-56.3,ONLINE,Online,0.217
15,2026-07-06 00:14:00,SLR-STR01,Night,25.25,90.1,25.25,0.0,21.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,No,Degraded Output (Soiling),Normal,No,-62.9,ONLINE,Online,0.233
16,2026-07-06 00:15:00,SLR-STR01,Night,25.42,89.3,25.42,0.0,21.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,95.4,No,Degraded Output (Soiling),Normal,No,-46.6,ONLINE,Online,0.25
17,2026-07-06 00:16:00,SLR-STR01,Night,24.9,89.8,24.94,1.4,22.031,0.0,0.0,0.84,0.0,0.0,0.84,0.0,0.18,95.6,No,Degraded Output (Soiling),Normal,No,-53.9,ONLINE,Online,0.267
18,2026-07-06 00:17:00,SLR-STR01,Night,25.11,86.9,25.19,2.4,21.978,0.0,0.0,1.44,0.0,0.0,1.44,0.0,0.21,95.8,No,Degraded Output (Soiling),Normal,No,-54.2,ONLINE,Online,0.283
19,2026-07-06 00:18:00,SLR-STR01,Night,24.74,87.2,24.74,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,95.8,No,Degraded Output (Soiling),Normal,No,-59.3,ONLINE,Online,0.3
20,2026-07-06 00:19:00,SLR-STR01,Night,24.89,90.7,24.89,0.0,21.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,95.7,No,Degraded Output (Soiling),Normal,No,-52.0,ONLINE,Online,0.317
21,2026-07-06 00:20:00,SLR-STR01,Night,24.74,89.1,24.74,0.0,22.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,95.8,No,Degraded Output (Soiling),Normal,No,-49.3,ONLINE,Online,0.333
22,2026-07-06 00:21:00,SLR-STR01,Night,25.13,86.6,25.13,0.0,21.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,No,Degraded Output (Soiling),Normal,No,-54.1,ONLINE,Online,0.35
