record_id,timestamp,site_id,environmental_condition,ambient_temperature_c,humidity_percent,panel_temperature_c,irradiance_w_m2,panel_voltage_v,panel_current_a,actual_power_w,expected_power_w,efficiency_percent,performance_ratio,power_loss_w,energy_kwh,soiling_index_percent,health_score,fault_detected,fault_type,alert_level,maintenance_required,wifi_rssi_dbm,device_status,comm_status,system_uptime_hr,temperature_difference,power_efficiency_ratio,energy_loss_percentage,hour,day,month
1,2026-07-06 00:00:00,SLR-STR01,Night,25.38,86.2,25.38,0.0,22.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,95.7,No,Degraded Output (Soiling),Normal,No,-55.8,ONLINE,Online,0.0,0.0,0.0,0.0,0,6,7
2,2026-07-06 00:01:00,SLR-STR01,Night,25.44,87.7,25.44,0.0,22.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.9,No,Degraded Output (Soiling),Normal,No,-54.3,ONLINE,Online,0.017,0.0,0.0,0.0,0,6,7
3,2026-07-06 00:02:00,SLR-STR01,Night,25.29,86.3,25.34,1.6,22.028,0.0,0.0,0.96,0.0,0.0,0.96,0.0,0.0,96.0,No,Degraded Output (Soiling),Normal,No,-58.2,ONLINE,Online,0.033,0.05000000000000071,0.0,100.0,0,6,7
4,2026-07-06 00:03:00,SLR-STR01,Night,25.13,92.2,25.19,2.0,21.992,0.0,0.0,1.2,0.0,0.0,1.2,0.0,0.25,96.3,No,Degraded Output (Soiling),Normal,No,-56.1,ONLINE,Online,0.05,0.060000000000002274,0.0,100.0,0,6,7
5,2026-07-06 00:04:00,SLR-STR01,Night,25.23,89.6,25.3,2.2,21.975,0.0,0.0,1.32,0.0,0.0,1.32,0.0,0.43,96.2,No,Degraded Output (Soiling),Normal,No,-49.6,ONLINE,Online,0.067,0.07000000000000028,0.0,100.0,0,6,7
6,2026-07-06 00:05:00,SLR-STR01,Night,25.08,88.3,25.08,0.0,21.979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,96.1,No,Degraded Output (Soiling),Normal,No,-53.7,ONLINE,Online,0.083,0.0,0.0,0.0,0,6,7
7,2026-07-06 00:06:00,SLR-STR01,Night,25.34,85.9,25.34,0.0,21.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,No,Degraded Output (Soiling),Normal,No,-59.9,ONLINE,Online,0.1,0.0,0.0,0.0,0,6,7
8,2026-07-06 00:07:00,SLR-STR01,Night,25.65,89.7,25.74,3.0,21.982,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.07,96.0,No,Degraded Output (Soiling),Normal,No,-54.1,ONLINE,Online,0.117,0.08999999999999986,0.0,100.0,0,6,7
9,2026-07-06 00:08:00,SLR-STR01,Night,25.18,89.2,25.26,2.5,22.015,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.21,96.1,No,Degraded Output (Soiling),Normal,No,-55.0,ONLINE,Online,0.133,0.08000000000000185,0.0,100.0,0,6,7
10,2026-07-06 00:09:00,SLR-STR01,Night,25.14,86.9,25.22,2.5,21.994,0.0,0.0,1.5,0.0,0.0,1.5,0.0,0.33,95.8,No,Degraded Output (Soiling),Normal,No,-57.7,ONLINE,Online,0.15,0.0799999999999983,0.0,100.0,0,6,7
11,2026-07-06 00:10:00,SLR-STR01,Night,25.41,87.1,25.5,3.0,22.008,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.0,95.7,No,Degraded Output (Soiling),Normal,No,-54.4,ONLINE,Online,0.167,0.08999999999999986,0.0,100.0,0,6,7
12,2026-07-06 00:11:00,SLR-STR01,Night,25.37,84.9,25.46,3.0,21.969,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.05,95.7,No,Degraded Output (Soiling),Normal,No,-50.0,ONLINE,Online,0.183,0.08999999999999986,0.0,100.0,0,6,7
13,2026-07-06 00:12:00,SLR-STR01,Night,25.3,87.8,25.3,0.0,21.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,No,Degraded Output (Soiling),Normal,No,-58.3,ONLINE,Online,0.2,0.0,0.0,0.0,0,6,7
14,2026-07-06 00:13:00,SLR-STR01,Night,25.03,89.8,25.07,1.4,21.918,0.0,0.0,0.84,0.0,0.0,0.84,0.0,0.41,95.6,No,Degraded Output (Soiling),Normal,No,-56.3,ONLINE,Online,0.217,0.03999999999999915,0.0,100.0,0,6,7
15,2026-07-06 00:14:00,SLR-STR01,Night,25.25,90.1,25.25,0.0,21.964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,No,Degraded Output (Soiling),Normal,No,-62.9,ONLINE,Online,0.233,0.0,0.0,0.0,0,6,7
16,2026-07-06 00:15:00,SLR-STR01,Night,25.42,89.3,25.42,0.0,21.981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,95.4,No,Degraded Output (Soiling),Normal,No,-46.6,ONLINE,Online,0.25,0.0,0.0,0.0,0,6,7
17,2026-07-06 00:16:00,SLR-STR01,Night,24.9,89.8,24.94,1.4,22.031,0.0,0.0,0.84,0.0,0.0,0.84,0.0,0.18,95.6,No,Degraded Output (Soiling),Normal,No,-53.9,ONLINE,Online,0.267,0.0400000000000027,0.0,100.0,0,6,7
18,2026-07-06 00:17:00,SLR-STR01,Night,25.11,86.9,25.19,2.4,21.978,0.0,0.0,1.44,0.0,0.0,1.44,0.0,0.21,95.8,No,Degraded Output (Soiling),Normal,No,-54.2,ONLINE,Online,0.283,0.08000000000000185,0.0,100.0,0,6,7
19,2026-07-06 00:18:00,SLR-STR01,Night,24.74,87.2,24.74,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,95.8,No,Degraded Output (Soiling),Normal,No,-59.3,ONLINE,Online,0.3,0.0,0.0,0.0,0,6,7
20,2026-07-06 00:19:00,SLR-STR01,Night,24.89,90.7,24.89,0.0,21.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,95.7,No,Degraded Output (Soiling),Normal,No,-52.0,ONLINE,Online,0.317,0.0,0.0,0.0,0,6,7
21,2026-07-06 00:20:00,SLR-STR01,Night,24.74,89.1,24.74,0.0,22.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,95.8,No,Degraded Output (Soiling),Normal,No,-49.3,ONLINE,Online,0.333,0.0,0.0,0.0,0,6,7
22,2026-07-06 00:21:00,SLR-STR01,Night,25.13,86.6,25.13,0.0,21.966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.3,No,Degraded Output (Soiling),Normal,No,-54.1,ONLINE,Online,0.35,0.0,0.0,0.0,0,6,7
23,2026-07-06 00:22:00,SLR-STR01,Night,24.87,89.3,24.87,0.0,21.988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,96.1,No,Degraded Output (Soiling),Normal,No,-56.5,ONLINE,Online,0.367,0.0,0.0,0.0,0,6,7
24,2026-07-06 00:23:00,SLR-STR01,Night,25.24,90.0,25.24,0.0,21.946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,96.1,No,Degraded Output (Soiling),Normal,No,-49.2,ONLINE,Online,0.383,0.0,0.0,0.0,0,6,7
25,2026-07-06 00:24:00,SLR-STR01,Night,25.21,89.8,25.26,1.8,21.969,0.0,0.0,1.08,0.0,0.0,1.08,0.0,0.0,96.0,No,Degraded Output (Soiling),Normal,No,-50.5,ONLINE,Online,0.4,0.05000000000000071,0.0,100.0,0,6,7
26,2026-07-06 00:25:00,SLR-STR01,Night,25.11,88.5,25.21,3.0,21.961,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.24,96.0,No,Degraded Output (Soiling),Normal,No,-61.2,ONLINE,Online,0.417,0.10000000000000142,0.0,100.0,0,6,7
27,2026-07-06 00:26:00,SLR-STR01,Night,24.52,87.2,24.55,0.9,22.013,0.0,0.0,0.54,0.0,0.0,0.54,0.0,0.48,95.8,No,Degraded Output (Soiling),Normal,No,-56.5,ONLINE,Online,0.433,0.030000000000001137,0.0,100.0,0,6,7
28,2026-07-06 00:27:00,SLR-STR01,Night,25.01,89.2,25.01,0.0,22.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,95.9,No,Degraded Output (Soiling),Normal,No,-51.4,ONLINE,Online,0.45,0.0,0.0,0.0,0,6,7
29,2026-07-06 00:28:00,SLR-STR01,Night,25.12,91.9,25.16,1.0,21.982,0.0,0.0,0.6,0.0,0.0,0.6,0.0,0.07,95.7,No,Degraded Output (Soiling),Normal,No,-57.4,ONLINE,Online,0.467,0.03999999999999915,0.0,100.0,0,6,7
30,2026-07-06 00:29:00,SLR-STR01,Night,25.16,88.7,25.16,0.0,21.887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.5,No,Degraded Output (Soiling),Normal,No,-57.8,ONLINE,Online,0.483,0.0,0.0,0.0,0,6,7
31,2026-07-06 00:30:00,SLR-STR01,Night,24.74,87.0,24.83,3.0,21.998,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.4,95.7,No,Degraded Output (Soiling),Normal,No,-44.2,ONLINE,Online,0.5,0.08999999999999986,0.0,100.0,0,6,7
32,2026-07-06 00:31:00,SLR-STR01,Night,24.99,89.1,25.09,3.0,21.992,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.4,95.7,No,Degraded Output (Soiling),Normal,No,-58.5,ONLINE,Online,0.517,0.10000000000000142,0.0,100.0,0,6,7
33,2026-07-06 00:32:00,SLR-STR01,Night,24.86,85.9,24.86,0.0,22.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,95.7,No,Degraded Output (Soiling),Normal,No,-55.1,ONLINE,Online,0.533,0.0,0.0,0.0,0,6,7
34,2026-07-06 00:33:00,SLR-STR01,Night,24.89,88.9,24.89,0.0,22.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,95.6,No,Degraded Output (Soiling),Normal,No,-51.6,ONLINE,Online,0.55,0.0,0.0,0.0,0,6,7
35,2026-07-06 00:34:00,SLR-STR01,Night,25.35,87.9,25.45,3.0,21.93,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.03,95.8,No,Degraded Output (Soiling),Normal,No,-57.0,ONLINE,Online,0.567,0.09999999999999787,0.0,100.0,0,6,7
36,2026-07-06 00:35:00,SLR-STR01,Night,24.88,90.5,24.97,3.0,22.007,0.0,0.0,1.8,0.0,0.0,1.8,0.0,0.0,95.8,No,Degraded Output (Soiling),Normal,No,-59.8,ONLINE,Online,0.583,0.08999999999999986,0.0,100.0,0,6,7
37,2026-07-06 00:36:00,SLR-STR01,Night,25.06,88.7,25.06,0.0,21.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,95.7,No,Degraded Output (Soiling),Normal,No,-56.1,ONLINE,Online,0.6,0.0,0.0,0.0,0,6,7
38,2026-07-06 00:37:00,SLR-STR01,Night,25.29,90.7,25.29,0.0,21.974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,96.0,No,Degraded Output (Soiling),Normal,No,-57.3,ONLINE,Online,0.617,0.0,0.0,0.0,0,6,7
39,2026-07-06 00:38:00,SLR-STR01,Night,24.91,93.4,24.99,2.4,22.026,0.0,0.0,1.44,0.0,0.0,1.44,0.0,0.27,95.8,No,Degraded Output (Soiling),Normal,No,-54.2,ONLINE,Online,0.633,0.0799999999999983,0.0,100.0,0,6,7
40,2026-07-06 00:39:00,SLR-STR01,Night,25.02,88.1,25.07,1.5,22.035,0.0,0.0,0.9,0.0,0.0,0.9,0.0,0.0,95.9,No,Degraded Output (Soiling),Normal,No,-54.2,ONLINE,Online,0.65,0.05000000000000071,0.0,100.0,0,6,7
41,2026-07-06 00:40:00,SLR-STR01,Night,25.07,86.9,25.07,0.0,21.998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.8,No,Degraded Output (Soiling),Normal,No,-58.7,ONLINE,Online,0.667,0.0,0.0,0.0,0,6,7
